Team 1
dt dt,2,3,ey ey,school b
ey ey,2,4,dt dt,school d
cy cy,2,4,,school b
fi fi,2,3,,school d
el el,2,4,,school d
bz bz,3,4,ev ev,school d
ev ev,3,4,bz bz,school s
df df,3,3,,school s
bi bi,3,4,,school s
cd cd,3,3,aj aj,school d
dk dk,3,4,,school d
fo fo,2,4,,school s
aq aq,2,3,,school c
dh dh,3,1,,

Team 2
dp dp,3,5,es es,school c
es es,3,3,dp dp,school c
bk bk,3,5,,school c
dg dg,2,4,bx bx,school b
bx bx,2,4,dg dg,school b
ba ba,2,4,,school c
ew ew,2,3,,school d
et et,2,3,,school l
ck ck,2,2,,school c
dd dd,2,2,,school d
cu cu,3,5,,school c
bc bc,3,3,,school o
ab ab,3,3,,school b

Team 3
dx dx,2,3,cp cp,school c
cp cp,2,2,dx dx,school c
eu eu,2,3,,school c
ac ac,3,4,bf bf,school g
bf bf,3,5,ac ac,school g
as as,2,5,dc dc,school c
dc dc,2,3,as as,school c
ae ae,2,2,,school c
bd bd,2,4,ad ad,school s
bt bt,3,5,,school l
aa aa,3,3,,school a
fk fk,3,3,du du,school l
ff ff,3,2,,

Team 4
dj dj,2,4,cm cm,school l
cm cm,3,3,dj dj,school s
by by,2,4,,school l
cx cx,2,3,,school l
cv cv,2,3,,school s
bp bp,2,1,,school s
cw cw,3,3,bl bl,school s
bl bl,3,4,cw cw,school g
da da,3,4,,school s
bg bg,3,5,,school s
cs cs,3,3,ac ac,school g
dy dy,2,4,,school d
co co,2,3,,school d

Team 5
ao ao,3,5,ap ap,school c
ap ap,3,2,ao ao,school c
fm fm,3,3,,school c
cn cn,3,5,af af,school l
af af,3,5,cn cn,school l
eh eh,3,3,af af,school l
dm dm,2,4,,school h
dl dl,2,3,,school c
eo eo,2,3,,school s
bs bs,2,2,,school d
av av,2,2,,school s
dr dr,2,1,,school m
at at,3,3,,school w

Team 6
ds ds,2,2,db db,school c
db db,2,3,ds ds,school b
bb bb,2,2,,school b
dz dz,2,1,,school b
ep ep,2,3,,school c
fd fd,2,2,,school c
aj aj,3,4,ah ah,school d
ah ah,3,5,aj aj,school d
eg eg,3,4,,school d
cj cj,2,4,,school c
fl fl,3,5,,school d
fe fe,3,3,,school b
du du,3,3,,school l

Team 7
do do,2,1,bw bw,school d
bw bw,2,4,do do,school d
eb eb,2,5,,school d
bu bu,2,2,er er,school l
er er,2,2,bu bu,school l
ag ag,2,4,,school l
ej ej,2,4,,school c
em em,3,4,,school b
cb cb,3,4,,school d
cf cf,3,3,al al,school b
fh fh,3,3,,school d
br br,3,2,,school c
fc fc,3,2,,school b

Team 8
ca ca,2,3,fg fg,school p
fg fg,2,3,ca ca,school s
fn fn,2,3,,school s
fj fj,2,3,,school s
de de,2,3,,school v
ak ak,2,3,fg fg,school s
ar ar,2,3,,school c
dq dq,3,4,,school n
bj bj,3,4,,school s
ea ea,3,3,,school b
dn dn,3,3,,school b
cg cg,3,2,,school d
bo bo,3,2,,school b

Team 9
ed ed,3,3,be be,school m
be be,3,4,ed ed,school c
ay ay,3,3,,school m
cr cr,3,5,,school c
ci ci,3,1,,school c
aw aw,2,4,,school d
ei ei,2,3,,school z
cz cz,2,3,,school d
ex ex,2,2,,school d
di di,2,2,,school s
dv dv,2,1,,school d
ez ez,3,5,,school y
bv bv,3,3,,school l

Team 10
al al,3,2,dw dw,school b
dw dw,3,3,al al,school b
eq eq,3,4,al al,school b
an an,2,3,,school m
ce ce,2,3,,school g
ch ch,2,2,,
fa fa,2,2,,school d
ad ad,2,2,fg fg,school s
fb fb,2,1,,school d
cq cq,3,5,,school c
ek ek,3,4,ab ab,school b
au au,3,3,,school l
cc cc,3,3,,school l

Team 11
cl cl,2,4,ai ai,school l
ai ai,2,2,cl cl,school l
az az,2,3,,school l
ax ax,2,3,,school g
bh bh,2,3,,school s
ec ec,2,2,,school c
ct ct,2,2,,school s
bq bq,3,4,,school l
bn bn,3,4,,school d
en en,3,3,,school b
ef ef,3,3,,school s
am am,3,2,,school b
bm bm,3,1,,school b

